,graph_object,num_tasks,num_machines,weights,order,features,psize,GD_cost,LR_cost,RLP_cost,ETF-H_cost,weak_strongman_cost
10,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 1, 'target': 4}, {'source': 2, 'target': 3}, {'source': 2, 'target': 4}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 3], [1, 5, 4]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}]","[2.9999972025000003, 2.9999972025000003, 2.0000182084, 1.0, 1.0, 1.9999899240999999]",16.63637277437396,16.733206252689783,16.58506,16.58505747976789,16.922285251880865
11,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 4}, {'source': 0, 'target': 3}, {'source': 0, 'target': 5}, {'source': 1, 'target': 2}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 4, 5], [1, 3, 2]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[3.00017041, 2.999824, 1.0, 1.9999899240999999, 1.9999899240999999, 1.0]",16.75198060119314,16.779610612801502,16.58506,16.58505747976789,17.035533905932738
12,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 1, 'target': 3}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 1, 5], [4, 2, 3]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[3.0000664849, 2.0000747775999996, 1.9999333561000001, 1.0, 2.9999279209, 1.0]",16.631449058675543,16.68887785129434,16.58506,16.58505747976789,16.828062645816683
13,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 0, 'target': 4}, {'source': 1, 'target': 4}, {'source': 1, 'target': 3}, {'source': 3, 'target': 5}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 4, 2], [1, 3, 5]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}]","[2.9998932804, 3.0001011264, 1.0, 1.9998485056000002, 2.0001313476, 1.0]",16.601407053877296,16.749151025932257,16.58506,16.58505747976789,16.65685424949238
14,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 3}, {'source': 0, 'target': 2}, {'source': 2, 'target': 3}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 3, 5], [1, 4]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.833333333333333}]","[4.0, 1.9999899240999999, 2.9999972025000003, 1.9999899240999999, 1.0, 1.0]",17.206706545426943,17.27998333866119,17.12096,17.120955864630133,17.292528739883945
15,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 0, 'target': 5}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 4], [3, 1, 5]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.333333333333333}]","[3.0007593529, 1.9992263235999999, 2.0007819601, 2.9992351489, 1.0, 1.0]",16.684857663867746,16.78367722517949,16.58506,16.58505747976789,16.82806264581668
16,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 1, 'target': 2}, {'source': 1, 'target': 5}, {'source': 2, 'target': 3}, {'source': 2, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 1, 2, 3], [4, 5]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 4.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.5}]","[5.000009044899999, 4.0, 2.9999972025000003, 1.0, 1.0, 1.0]",17.995749593036074,18.095819621321322,17.93624,17.936237570137333,17.936237570137333
17,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 1, 'target': 2}, {'source': 1, 'target': 4}, {'source': 1, 'target': 5}, {'source': 2, 'target': 4}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 1, 2, 4], [3, 5]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}]","[4.9085288704000005, 3.908529, 1.9999899240999999, 1.0914816676, 1.0, 1.0]",17.379744448986784,17.605647963169186,17.30294,17.35334948424581,17.421883423305413
18,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 0, 'target': 3}, {'source': 0, 'target': 4}, {'source': 1, 'target': 2}, {'source': 2, 'target': 3}, {'source': 2, 'target': 4}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 4, 5], [1, 3]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.5}]","[2.9999972025000003, 2.9999972025000003, 4.0, 1.0, 1.9999899240999999, 1.0]",17.83682481614769,17.95984857854757,17.75663,17.7566303550217,17.983844652745518
19,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 4}, {'source': 2, 'target': 5}, {'source': 2, 'target': 3}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[2, 3, 4], [0, 1, 5]]","[{'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}]","[2.9999625616000003, 1.9999616399999998, 3.0000318436, 2.0000464929, 1.0, 1.0]",16.63658582423556,16.71150456361532,16.58506,16.58505747976789,16.82806264581668
20,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 3}, {'source': 1, 'target': 5}, {'source': 1, 'target': 2}, {'source': 1, 'target': 4}, {'source': 4, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[1, 4, 3], [0, 2, 5]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.333333333333333}]","[2.9997893601, 3.0002050521, 1.9999333561000001, 1.0, 2.0000747775999996, 1.0]",16.68241975663947,16.75627949290036,16.58506,16.58505747976789,16.792528739883945
21,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 3}, {'source': 1, 'target': 5}, {'source': 2, 'target': 4}, {'source': 3, 'target': 4}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 3, 5], [1, 2, 4]]","[{'constant': 1, 'num_descendants': 4.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}]","[2.9999972025000003, 2.9999972025000003, 1.9999899240999999, 2.0000182084, 1.0, 1.0]",16.636698564883723,16.786009240617478,16.58506,16.58505747976789,16.750712376627057
22,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 1}, {'source': 0, 'target': 4}, {'source': 1, 'target': 4}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 3, 5], [2, 1, 4]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[3.0000664849, 1.9999899240999999, 2.9999279209, 1.9999899240999999, 1.0, 1.0]",16.627592996755844,16.741680839222035,16.58506,16.58505747976789,16.65648977056287
23,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 0, 'target': 4}, {'source': 1, 'target': 4}, {'source': 2, 'target': 3}, {'source': 2, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 3], [1, 4, 5]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}]","[3.0007939984000003, 2.9992005124, 2.0003293489000002, 1.0, 1.9996788099999998, 1.0]",16.721547678346283,16.76454667644151,16.58506,16.58505747976789,16.99999401588053
24,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}, {'source': 2, 'target': 5}, {'source': 3, 'target': 5}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 4], [3, 1, 5]]","[{'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.5}]","[3.0007593529, 1.9992263235999999, 2.0007819601, 2.9992351489, 1.0, 1.0]",16.680814483835814,16.774950203891137,16.58506,16.58505747976789,16.82806264581668
25,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 2}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 3, 5], [1, 4, 2]]","[{'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 1.0}]","[2.9999972025000003, 2.9999972025000003, 1.0, 1.9999899240999999, 1.9999899240999999, 1.0]",16.81354075643002,16.85293479855696,16.58506,16.58505747976789,17.535533905932738
26,"{'directed': True, 'multigraph': False, 'graph': {}, 'nodes': [{'id': 0}, {'id': 1}, {'id': 2}, {'id': 3}, {'id': 4}, {'id': 5}], 'links': [{'source': 0, 'target': 5}, {'source': 0, 'target': 2}, {'source': 0, 'target': 4}, {'source': 1, 'target': 5}, {'source': 1, 'target': 4}, {'source': 2, 'target': 3}]}",6,2,"[1, 1, 1, 1, 1, 1]","[[0, 2, 4], [1, 5, 3]]","[{'constant': 1, 'num_descendants': 5.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 3.0, 'trophic_levels': 1.0}, {'constant': 1, 'num_descendants': 2.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 3.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}, {'constant': 1, 'num_descendants': 1.0, 'trophic_levels': 2.0}]","[3.0001357681, 2.9998586401000003, 2.0000464929, 1.0, 1.0, 1.9999616399999998]",16.72983802566251,16.768814568357563,16.58506,16.58505747976789,16.870237503883608
